Country Name,Worried about not being able to pay school fees or fees for education: worried (% age 15+),Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,0.1800774753173924,-0.43053210179681944,1.152120770960155,-0.9191182946836921,3.9250574238590747
Algeria,-0.9424460040836067,-2.5135466755347036,0.28602655744620886,-2.8304192809818227,4.234415798722914
Argentina,1.4756928418442552,3.519535344524523,-0.14928621288501454,2.622563923417542,-2.7642312903751014
Armenia,-1.127267336763276,1.2383316309613266,-1.443738967902866,0.8083690745439689,0.9607844632299882
Australia,3.6434441668837003,2.913931155717581,-1.209203100269056,-1.6792819859938695,-5.913844670626331
Austria,3.1863416169750964,1.4125326456078802,-1.7145145304570986,0.6024237737457214,-3.507170147766816
Bangladesh,-2.9222200405284156,-3.623486624905794,0.0905523689112302,-2.0032183102670302,10.166533283114557
Belgium,3.891008778715733,5.206750329415752,0.4080180455267133,-0.7020560289973083,-7.941824946029821
Benin,-2.541024181630692,-5.920034104473423,0.32775387592730443,-1.5009520181840204,10.905543666539835
Bolivia,0.6138289395614565,2.717539298891704,0.003175930870900512,-0.06357689460317428,-2.3306864225535557
Bosnia and Herzegovina,3.379217951008539,3.750304263768882,0.7994617541739233,-0.3737407377730091,-5.864027615261643
Brazil,0.4405978224946927,1.2026946564648422,-0.8815654533575942,1.5635959135391713,-3.067240656585923
Bulgaria,2.096925121596386,2.934857741398079,-0.3390046349753826,1.3734775081146626,-6.876080865563473
Burkina Faso,-1.8345075152267603,-6.643443545058104,0.5876577132090564,-0.7807121690720136,9.345735837620317
Cambodia,-3.175668848650931,-0.39200487364536896,-0.6835897303692029,-2.694626055220683,4.836390902806173
Cameroon,-2.397598034271952,-2.8086193199477467,-1.1014417748904832,-1.0526286377612415,5.300747360149668
Canada,1.72001847182132,0.5964505479192664,-0.1928871049820201,-1.1881173851321676,-1.3412263583884134
Chile,0.6528237104129673,6.5784474248605935,2.043875482564662,2.398419806088091,-5.746822409403014
China,4.12766921832512,3.5666390836699975,0.0763277641541551,0.8874807031611338,-6.0804198708385
Colombia,-0.9700534193221927,2.4005395209518277,0.8108222303770094,0.39297738964267315,1.9757023129769014
"Congo, Rep.",-3.6410694335671785,-13.622563403041793,-1.2722354713222543,-1.4000499124089494,11.669708108025041
Costa Rica,0.08761037432156815,5.277538996950536,-0.275766559404758,1.7751341071062794,-4.742320836540116
Cote d'Ivoire,-1.2586003874511391,-9.58710752920538,0.5235666509006016,0.4220463212555603,11.008722190140926
Croatia,4.293208888260639,4.777973223403326,0.8737032920307746,2.6415502670378643,-7.4491420742416965
Czech Republic,1.8806271568548993,7.181437266014034,0.05834811479399704,0.3196380755111141,-11.45346957199889
Dominican Republic,0.4891853767293848,1.8280105517542347,1.6453505223594185,-0.3152707249150144,2.8327395864352605
Ecuador,-1.877484792296706,2.8017527912119546,0.18708307731472396,-0.9318047942342668,-1.2009423546787334
"Egypt, Arab Rep.",-1.4049788450875713,-5.361591900794642,0.38825333613947066,-0.8894646027707749,4.705159776567456
El Salvador,1.232018427982573,-9.06384142869757,1.8192912433291841,-0.9015562646929527,12.15342634908503
Estonia,3.1301051561744853,8.662217836268962,1.1429695436453091,-0.4978285901245485,-9.698560030632816
France,3.9001114087981508,2.145079624888359,0.18206828306349188,1.9910694666919415,-6.611819716564793
Gabon,-1.485448830367071,-5.87942303399137,-0.3391711920549536,0.2611237895994276,3.605535773560274
Georgia,-0.9864750662797692,4.357397539861505,3.087887777211659,1.029358550656343,-2.33459903718383
Germany,0.5281728664257612,-1.648579808749215,-1.1598832783524915,0.3170233805627365,-0.3222005024042709
Ghana,-2.2178336979101663,-0.6797903685764406,-0.258936744714525,-1.4424519813822219,4.524824565094742
Greece,0.09795619087589635,4.9103959919969125,0.7601558399222155,2.4144386585126374,-5.409637115675845
Guinea,-3.7543211220712207,-4.362750007396075,-0.7728025726131547,-2.6746643175453384,8.625061241958768
Honduras,-0.9196797223323605,-5.701272673439393,2.1471836282704935,-0.3266611805941795,11.873315327647964
"Hong Kong SAR, China",2.3400275654395264,0.2860402539595597,-1.3659514395266488,0.7432705447232577,-1.5051705512961853
Hungary,-0.48131260744857673,8.414678404142453,0.3459558698765193,3.918967786921467,-10.47908641361417
Iceland,1.6879990968239165,1.1377361800258892,-0.3439647645443354,-1.8214638688064335,-2.329987809536688
India,-1.706237905755882,3.0441408762884277,2.516715899011704,-2.893766974359256,2.509050861358542
Indonesia,-1.3252255432366524,1.1143450567481463,0.5376625366345957,-2.5362192148025953,0.5294257121191506
Iraq,-1.500532620927225,-7.379212897255374,-0.8267437737205832,1.2725004756688318,5.65579632754746
Ireland,5.70469362386327,3.5852285091695926,0.5085122286897503,2.121447083492142,-4.5978928627590205
Israel,1.2560707672043367,-1.84228763576521,2.7494382867203324,1.060167076048748,-0.3075942507295504
Italy,3.997628129113842,0.3293861430478793,-0.1049159355496938,1.0968862356758842,-4.237985785406491
Jamaica,-1.4130038129556182,6.326002277954551,-0.5676823981680104,-1.8196709245590972,-3.333699900201921
Japan,1.4773157039965223,-4.080257452122007,-0.3745822238944365,1.1604407256171738,-1.7895110235473224
Jordan,-2.4611434157950622,0.5702850991124635,0.3125562650635223,-1.1856961237422792,0.661204779305828
Kazakhstan,-1.06084044084019,4.575869757316607,-0.5181129927931707,0.5850355360110495,-5.194610168592622
Kenya,0.013962296240290994,1.2106532602492277,-1.359725018929444,2.1115163553500667,0.07580680469990941
"Korea, Rep.",0.3531996882401216,-1.9510861889663944,0.20435932651424937,0.2925068095931309,-0.30895186974646993
Kosovo,0.4781142301620145,3.93534571944764,0.6374654349597186,-0.015125114743171686,-1.508081281633043
Kyrgyz Republic,-0.07948724092146708,-2.9230483690582076,-0.23337074581734596,-0.8953808072283143,2.0544558104346167
Lao PDR,-0.7949956293262614,-4.5644034843193175,-0.19942606800340457,-1.1396327554118661,4.011579451809064
Latvia,-0.8165894960858795,8.51945408332591,0.5063243457952353,1.0860054757403494,-10.165234726684258
Lebanon,-4.344580906032887,-14.042495390716738,-4.815642652384728,-2.8469786132221024,11.106403076636639
Liberia,-4.1457540616739355,-0.5611283586761271,-0.9856115195806776,-2.3888988247941016,6.478695576728647
Malawi,-4.918495347497547,-4.533216351898476,-0.06325242914378748,-2.2647086769311677,8.544364774998217
Malaysia,-0.27399034100958275,7.228515171500013,-1.0179316607101327,2.0026344244092815,-10.363350257361775
Mali,-3.035960241137838,-4.178737896229279,0.34782008673428066,-1.7446751872913357,6.958044587028175
Malta,4.06424606532802,4.614677384634035,0.5595492802565145,2.681273907469815,-8.43304330866566
Mauritius,-0.030075344255758196,5.42163464544106,1.060864851546492,-0.5792486647147523,-7.25286121323719
Moldova,1.7468786692554161,5.184631816958195,0.7597761577508075,2.3627034849773345,-1.657164972409852
Mongolia,-1.2845071288354326,0.6164509269121958,-0.3505476433553974,1.020694640049181,-4.0833013349817024
Morocco,-1.2676472964810994,1.2679039407869412,1.2131147031889504,-0.4648438058185631,1.0249226900923072
Mozambique,-2.9231690642556956,-3.5498614178322745,0.04739529036348333,-1.3257571869486426,4.6013873391412705
Myanmar,-5.762010767432489,-9.093521376077947,-6.927726612117553,-3.3014975908458695,2.085588601726485
Namibia,-2.1964978715349583,1.184266309918678,0.015388298530166211,-0.1464810117639055,-1.7514363682489957
Nepal,-1.508885070931147,1.1559272560387093,-2.468425442162652,-1.3562251084988786,2.7554278155250818
Netherlands,2.2379966380009915,7.675158621080896,0.2589192648346419,0.7315533569430093,-11.759242037629235
New Zealand,3.377164968892921,2.841257866298733,-0.8684128965855777,-2.17234573057279,-5.515136472792435
Nicaragua,0.3058042647242303,-9.806995989210776,1.596624453617261,-0.3642127738991876,13.243329241539776
Nigeria,-2.8632407943940876,1.2370770453692317,0.39881597656699785,-1.5027011851051215,0.12142922580388849
North Macedonia,-0.8416950237831322,3.9611991543515868,0.11592991267517982,0.8244591582009644,-5.323699531415351
Pakistan,-3.4906884488475214,-15.300054976054525,-0.7315002129755932,-1.0662959046531277,19.824724005789438
Panama,4.842043572948219,-1.6676331764652788,1.4709100429399804,1.8951198839838437,3.085024974201813
Paraguay,-1.403435431388738,-9.759018959294295,-0.3347059840435014,-0.9199612481641797,11.406488138461743
Peru,0.05661797801751156,3.5034533055771337,2.364228427119701,0.7583123602045565,0.827028613216739
Philippines,-1.6425977854250386,0.9806059382267582,0.058576211120343696,0.4241511435751181,0.6621650857343606
Poland,-0.09646234238721796,6.862296676400534,0.54007403717213,0.37623160373185005,-7.254049450077459
Portugal,-0.7024489292538361,6.452505911354987,0.4243158451120994,2.4153240890059333,-9.073510804511084
Romania,-0.8523920265443499,5.373568487627011,-0.2826828667613719,1.161762710953659,-4.573792205215437
Russian Federation,2.318564654431973,3.8150019759496243,-0.11765797758944618,0.2833158232621211,-6.7385630636867715
Saudi Arabia,2.6002699481263307,1.9166382115998446,-0.2710253575570194,-0.6351297276569812,-5.773248662960086
Senegal,-1.9072387921809213,-4.220636040322179,0.30879186934924885,-0.1493918590032588,6.80757055605829
Serbia,2.6996016698477954,1.7256602869917552,-0.05069860920100222,1.4693998124684788,-4.160464161172716
Sierra Leone,-3.7082418743720913,-5.233264819851941,-0.43882617872773455,-2.67223897550293,10.65761363016647
Singapore,0.08862032639583539,4.79823947621174,1.2284198492393186,2.3874533326489606,-5.960890823979632
Slovak Republic,1.8692327488135216,6.93750828535287,0.16464683093079202,-0.30650258689825716,-10.357436585412978
Slovenia,4.316769266876252,4.278192928100887,0.1686927392035411,2.5463340852518606,-8.279289309378754
South Africa,0.5878148061179369,-0.14671094619525216,-0.5302751968697178,2.1137510035542237,-2.6133164358617886
Spain,3.9137950351165633,2.924134950478943,-0.578417884426206,1.4663262362308744,-7.74525390932494
Sri Lanka,-0.8701041196265653,3.063721424657312,2.7111710641513027,-3.2775307034113754,-3.410008119127239
Switzerland,1.7825236349079931,-1.537967647222071,-1.852816924527853,1.1476689568636524,-1.540964193230684
Tajikistan,0.3957729478043257,-5.649670635825076,2.2944358160081624,-2.694956944330745,9.729344952171601
Tanzania,-1.245896054900209,-8.490956154353597,0.5061347409133781,0.30135107873937983,8.273115475260855
Thailand,0.916089424640741,0.7067525438407356,-1.8089089813769215,1.1117783946037465,-4.549344232622193
Togo,-1.9279592280684144,-6.3434112638241,-0.03474947210752255,-0.2822838498868405,8.568376147233419
Tunisia,-1.5706004564799358,-2.171271910435944,-0.3179143855218376,-0.3216659528134551,2.556465024847031
Uganda,-2.0102325257926115,-0.10962143644807165,-0.3713757400312985,-0.07754485975867009,0.46998275811375256
Ukraine,-0.006744119158761608,1.870737685668243,-1.2090774591372895,0.8570658927728996,-3.240416959606841
United Kingdom,1.1468635483544034,-0.5523210044243823,0.11371050624253665,0.9545147483058078,-0.06663334768794726
United States,1.99190112510077,1.4577005256220463,-0.6952853496302585,0.6259395488360542,-3.123821332075669
Uruguay,1.8548156417679318,1.5895148238914838,-1.4832282088170783,1.340048835933892,-4.379237184154597
Uzbekistan,6.091831206558144,-3.9796125871083095,-0.3792933911606067,0.5618233710621467,-0.09885068553560883
West Bank and Gaza,-0.26639526374132316,-5.013494421804227,0.3263460259798703,-0.2931304932054406,6.233617360034228
Zambia,-3.195313219319921,-3.2024000344376944,-0.545514607266882,-0.6051954657793575,6.195982548446838
Zimbabwe,-2.17156533661478,-3.551570442683674,0.4447120553521442,0.1451321843947322,5.128584185659425
